,dataset,label,count
463,DevProso,lh.pmc_p,47
464,DevProso,rh.pmc_pY,16
465,DevProso,lh.prculs_d,82
466,DevProso,lh.prcus_p,82
467,DevProso,lh.prcus_i,82
468,DevProso,lh.prcus_a,82
469,DevProso,rh.prculs_d,82
470,DevProso,rh.prcus_p,82
471,DevProso,rh.prcus_i,82
472,DevProso,rh.prcus_a,82
473,DevProso,rh.spls,82
474,DevProso,rh.pmc_x,45
475,DevProso,lh.pmc_3,39
476,DevProso,rh.pmc_1,37
477,DevProso,lh.infs-h,19
478,DevProso,lh.lfms,18
479,DevProso,rh.painfs-v,16
480,DevProso,lh.pmc_1,34
481,DevProso,rh.SSPLS_D,37
482,DevProso,lh.SSPLS_D,33
483,DevProso,lh.ICGS_P,38
484,DevProso,rh.SSPLS_V,48
485,DevProso,rh.SSPLS_D_v2,37
486,DevProso,lh.SSPLS_D_v2,33
487,DevProso,lh.ICGS_P_v3,38
488,DevProso,rh.SSPLS_V_v3,48
489,DevProso,lh.SSPLS_D_v3,33
490,DevProso,rh.SSPLS_D_v3,37
491,DevProso,rh.pmc_pX,27
492,DevProso,lh.slos1,47
493,DevProso,error,29
494,DevProso,lh.sfs-s,1
495,DevProso,rh.slos1,43
496,DevProso,rh.slos2,23
497,DevProso,rh.slos3,14
498,DevProso,lh.slos2,19
499,DevProso,lh.slos3,14
500,DevProso,lh.imfs,1
501,DevProso,rh.pmc_pXY,8
502,DevProso,rh.slos4,5
503,DevProso,rh.acsfs,3
504,DevProso,rh.sB],1
505,DevProso,lh.MFSb,1
506,DevProso,lh.slos4,2
507,DevProso,rh.lmfs,1
508,DevProso,rh.imfs,1
509,DevProso,lh.1x3y_lh_sub7_v4,1
510,DevProso,rh.x3_rh_sub7_v4,1
511,DevProso,lh.SB,1
512,DevProso,rh.irps,1
513,DevProso,lh.aparc.a2009s.annot,3
514,DevProso,lh.aparc.a2009s.annot.p,3
515,DevProso,lh.aparc.annot,3
516,DevProso,lh.aparc.annot.p,3
517,DevProso,rh.aparc.a2009s.annot,3
518,DevProso,rh.aparc.a2009s.annot.p,3
519,DevProso,rh.aparc.annot,3
520,DevProso,rh.aparc.annot.p,3
521,DevProso,rh.sB\,1
522,DevProso,lh.MFS_whole,1
523,DevProso,lh.MFScombined,1
524,DevProso,rh.,1
525,DevProso,lh.MFScorrection,1
526,DevProso,rh.pipz,1
527,DevProso,lh.all_fusiform_length,1
