,dataset,label,count
428,NORA,rh.V1,157
429,NORA,lh.BA2,157
430,NORA,lh.BA2.thresh,157
431,NORA,rh.V1.thresh,157
432,NORA,lh.BA3a,157
433,NORA,lh.BA3a.thresh,157
434,NORA,rh.V2,157
435,NORA,lh.BA3b,157
436,NORA,lh.BA3b.thresh,157
437,NORA,rh.V2.thresh,157
438,NORA,lh.BA44,157
439,NORA,lh.BA44.thresh,157
440,NORA,lh.BA45,157
441,NORA,rh.BA,157
442,NORA,lh.BA45.thresh,157
443,NORA,lh.BA4a,157
444,NORA,rh.BA.thresh,157
445,NORA,lh.BA4a.thresh,157
446,NORA,lh.BA4p,157
447,NORA,rh.BA1,157
448,NORA,lh.BA4p.thresh,157
449,NORA,lh.BA6,157
450,NORA,rh.BA1.thresh,157
451,NORA,lh.BA6.thresh,157
452,NORA,rh.BA2,157
453,NORA,lh.DLPFC_VLPFC,45
454,NORA,lh.ifs_WM,43
455,NORA,lh.DLPFC_VLPFC__both_manual,32
456,NORA,lh.DLPFC_VLPFC_manual,45
457,NORA,lh.MT,157
458,NORA,rh.BA2.thresh,157
459,NORA,lh.MT.thresh,157
460,NORA,rh.dlpfc_vlpfc,39
461,NORA,lh.V1,157
462,NORA,rh.BA3a,157
463,NORA,lh.V1.thresh,157
464,NORA,lh.V2,157
465,NORA,rh.BA3a.thresh,157
466,NORA,lh.V2.thresh,157
467,NORA,lh.aparc.DKTatlas40,157
468,NORA,rh.BA3b,157
469,NORA,rh.BA3b.thresh,157
470,NORA,rh.BA44,157
471,NORA,rh.BA44.thresh,157
472,NORA,rh.BA45,157
473,NORA,rh.DLPFC_VLPFC_both_manual,29
474,NORA,lh.dlPFC_painfs_manual,61
475,NORA,rh.BA45.thresh,157
476,NORA,lh.dlpfc_vlpfc,45
477,NORA,rh.BA4a,157
478,NORA,rh.ifs_WM,41
479,NORA,rh.BA4a.thresh,157
480,NORA,lh.ifms_WM,55
481,NORA,rh.ifms_WM,55
482,NORA,rh.BA4p,157
483,NORA,rh.BA4p.thresh,157
484,NORA,lh.painfs_a_WM,49
485,NORA,rh.BA6,157
486,NORA,rh.BA6.thresh,157
487,NORA,lh.perirhinal,157
488,NORA,rh.DLPFC_VLPFC,39
489,NORA,rh.DLPFC_VLPFC_manual,39
490,NORA,lh.aparc.annot-020,72
491,NORA,rh.aparc.DKTatlas40,157
492,NORA,lh.aparc.annot-021,72
493,NORA,lh.aparc.annot-022,72
494,NORA,lh.aparc.annot-023,72
495,NORA,lh.aparc.annot-024,72
496,NORA,lh.aparc.annot-025,72
497,NORA,lh.lobesStrict,72
498,NORA,lh.aparc.annot-026,72
499,NORA,lh.aparc.annot-027,72
500,NORA,lh.aparc.annot-028,72
501,NORA,rh.painfs_a_WM,46
502,NORA,lh.aparc.annot-029,72
503,NORA,lh.aparc.annot-030,72
504,NORA,rh.painfs_p_WM,39
505,NORA,lh.aparc.annot-031,72
506,NORA,rh.perirhinal,157
507,NORA,lh.aparc.annot-032,72
508,NORA,lh.aparc.annot-033,72
509,NORA,lh.aparc.annot-034,72
510,NORA,lh.aparc.annot-035,72
511,NORA,lh.frontal,72
512,NORA,rh.aparc.annot-001,72
513,NORA,rh.aparc.annot-002,72
514,NORA,rh.aparc.annot-003,72
515,NORA,lh.cingulate,72
516,NORA,lh.occipital,72
517,NORA,rh.aparc.annot-005,72
518,NORA,rh_ifs_WM,41
519,NORA,lh.aparc.annot-018,72
520,NORA,rh.aparc.annot-006,72
521,NORA,lh.WM_screenshots,58
522,NORA,rh.WM_screenshots,53
523,NORA,lh.SmgS,80
524,NORA,lh.painfs_label,32
525,NORA,rh.painfs_label,32
526,NORA,lh.WM,60
527,NORA,rh.WM,60
528,NORA,lh.central-test,1
529,NORA,lh.sPoCS,31
530,NORA,lh.iPoCS,30
531,NORA,rh.STS,29
532,NORA,rh.cSTS3,80
533,NORA,rh.LF,10
534,NORA,rh.cSTS2,80
535,NORA,rh.cSTS1,80
536,NORA,rh.aipsJ,80
537,NORA,rh.IPS,80
538,NORA,rh.sPoCS,30
539,NORA,rh.iPoCS,30
540,NORA,rh.SmgS,80
541,NORA,rh.lTOS,80
542,NORA,rh.mTOS,80
543,NORA,rh.pips,80
544,NORA,rh.sB,80
545,NORA,rh.IPS-PO,80
546,NORA,rh.CS,25
547,NORA,rh.painfs_combined,66
548,NORA,lh.painfs_combined,70
549,NORA,lh.pmfs_combined,72
550,NORA,rh.pmfs_combined,72
551,NORA,lh.slos,9
552,NORA,lh.lTOS,80
553,NORA,lh.SPS,28
554,NORA,lh.mTOS,80
555,NORA,lh.IPS-PO,80
556,NORA,lh.temporal,72
557,NORA,lh.aipsJ,80
558,NORA,lh.IPS,80
559,NORA,lh.cSTS1,80
560,NORA,lh.cSTS2,80
561,NORA,lh.cSTS3,80
562,NORA,lh.STS,27
563,NORA,lh.LF,10
564,NORA,lh.CS,26
565,NORA,lh.cings,2
566,NORA,lh.sB,80
567,NORA,lh.pips,80
568,NORA,rh.SPS,30
569,NORA,lh.PIMFS_sulci,72
570,NORA,rh.PIMFS_sulci,72
571,NORA,lh.aparc.annot-001,72
572,NORA,lh.aparc.annot-002,72
573,NORA,lh.aparc.annot-003,72
574,NORA,lh.aparc.annot-005,72
575,NORA,lh.aparc.annot-006,72
576,NORA,lh.aparc.annot-007,72
577,NORA,lh.aparc.annot-008,72
578,NORA,lh.aparc.annot-009,72
579,NORA,lh.aparc.annot-010,72
580,NORA,lh.aparc.annot-011,72
581,NORA,lh.aparc.annot-012,72
582,NORA,lh.aparc.annot-013,72
583,NORA,lh.aparc.annot-014,72
584,NORA,lh.aparc.annot-015,72
585,NORA,lh.aparc.annot-016,72
586,NORA,lh.aparc.annot-017,72
587,NORA,lh.aparc.annot-019,72
588,NORA,rh.aparc.annot-007,72
589,NORA,rh.aparc.annot-008,72
590,NORA,rh.aparc.annot-009,72
591,NORA,rh.aparc.annot-010,72
592,NORA,rh.aparc.annot-011,72
593,NORA,rh.aparc.annot-012,72
594,NORA,rh.aparc.annot-013,72
595,NORA,rh.aparc.annot-014,72
596,NORA,rh.aparc.annot-015,72
597,NORA,rh.aparc.annot-016,72
598,NORA,rh.aparc.annot-017,72
599,NORA,rh.aparc.annot-018,72
600,NORA,rh.aparc.annot-019,72
601,NORA,rh.aparc.annot-020,72
602,NORA,rh.aparc.annot-021,72
603,NORA,rh.aparc.annot-022,72
604,NORA,rh.aparc.annot-023,72
605,NORA,rh.aparc.annot-024,72
606,NORA,rh.aparc.annot-025,72
607,NORA,rh.aparc.annot-026,72
608,NORA,rh.aparc.annot-027,72
609,NORA,rh.aparc.annot-028,72
610,NORA,rh.aparc.annot-029,72
611,NORA,rh.aparc.annot-030,72
612,NORA,rh.aparc.annot-031,72
613,NORA,rh.aparc.annot-032,72
614,NORA,rh.aparc.annot-033,72
615,NORA,rh.aparc.annot-034,72
616,NORA,rh.aparc.annot-035,72
617,NORA,lh.parietal,72
618,NORA,rh.lobesStrict,72
619,NORA,rh.frontal,72
620,NORA,rh.cingulate,72
621,NORA,rh.occipital,72
622,NORA,rh.temporal,72
623,NORA,rh.parietal,72
624,NORA,lh.lobes,72
625,NORA,rh.lobes,72
626,NORA,lh.postcentral,72
627,NORA,lh.precentral,72
628,NORA,rh.postcentral,72
629,NORA,rh.precentral,72
630,NORA,lh.test_lh,1
631,NORA,lh.slos1,75
632,NORA,lh.slos2,49
633,NORA,rh.slos1,79
634,NORA,lh.3,32
635,NORA,lh.DLPFC_VLPFC_lhpainfs2_manual,13
636,NORA,lh.DLPFC_VLPFC_lhpainfs_manual,13
637,NORA,lh.NORA_PCC_1,34
638,NORA,lh.NORA_PCC_1_v2,34
639,NORA,lh.NORA_PCC_3,31
640,NORA,lh.NORA_PCC_3_v2,31
641,NORA,lh.dlpfc_suppfigure,48
642,NORA,lh.NORA_ifrms_tertiary_1_v1,34
643,NORA,lh.NORA_ifrms_tertiary_3_v1,31
644,NORA,lh.WM_sulci,1
645,NORA,lh.dlpfc_suppfigure_final,48
646,NORA,lh.PAINFS,55
647,NORA,rh.PAINFS,55
648,NORA,lh.painfs_d,1
649,NORA,.label,2
650,NORA,lh.1,35
651,NORA,rh.1,32
652,NORA,lh.pfc_aparc,21
653,NORA,rh.ifs_i,1
654,NORA,rh.G&S_cingul-Ant,1
655,NORA,rh.G&S_cingul-Mid-Ant,1
656,NORA,rh.G&S_cingul-Mid-Post,1
657,NORA,rh.G&S_frontomargin,1
658,NORA,rh.G&S_occipital_inf,1
659,NORA,rh.G&S_paracentral,1
660,NORA,rh.G&S_subcentral,1
661,NORA,rh.G&S_transv_frontopol,1
662,NORA,rh.G_Ins_lg&S_cent_ins,1
663,NORA,rh.G_cingul-Post-dorsal,1
664,NORA,rh.G_cingul-Post-ventral,1
665,NORA,rh.G_cuneus,1
666,NORA,rh.G_front_inf-Opercular,1
667,NORA,rh.G_front_inf-Orbital,1
668,NORA,rh.G_front_inf-Triangul,1
669,NORA,rh.G_front_middle,1
670,NORA,rh.G_front_sup,1
671,NORA,rh.G_insular_short,1
672,NORA,rh.G_oc-temp_lat-fusifor,1
673,NORA,rh.G_oc-temp_med-Lingual,1
674,NORA,rh.G_oc-temp_med-Parahip,1
675,NORA,rh.G_occipital_middle,1
676,NORA,rh.G_occipital_sup,1
677,NORA,rh.G_orbital,1
678,NORA,rh.G_pariet_inf-Angular,1
679,NORA,rh.G_pariet_inf-Supramar,1
680,NORA,rh.G_parietal_sup,1
681,NORA,rh.G_postcentral,1
682,NORA,rh.G_precentral,1
683,NORA,rh.G_precuneus,1
684,NORA,rh.G_rectus,1
685,NORA,rh.G_subcallosal,1
686,NORA,rh.G_temp_sup-G_T_transv,1
687,NORA,rh.G_temp_sup-Lateral,1
688,NORA,rh.G_temp_sup-Plan_polar,1
689,NORA,rh.G_temp_sup-Plan_tempo,1
690,NORA,rh.G_temporal_inf,1
691,NORA,rh.G_temporal_middle,1
692,NORA,rh.Lat_Fis-ant-Horizont,1
693,NORA,rh.Lat_Fis-ant-Vertical,1
694,NORA,rh.Lat_Fis-post,1
695,NORA,rh.NORA_PCC_1,30
696,NORA,rh.NORA_PCC_1_v2,30
697,NORA,rh.NORA_PCC_sps_v3,6
698,NORA,rh.NORA_ifrms_tertiary_1_v1,30
699,NORA,rh.Pole_occipital,1
700,NORA,rh.Pole_temporal,1
701,NORA,rh.S_calcarine,1
702,NORA,rh.S_central,1
703,NORA,rh.S_cingul-Marginalis,1
704,NORA,rh.S_circular_insula_ant,1
